timeToPerse,category,comment,lat,long,location,step,src
2020-05-31T18:30:00Z,Peaceful Protest,Protesters start marching,42.329842,-71.08446,Dudley Station,step-2,NA
2020-05-31T18:32:00Z,BPD Tweets/News,BPD asks for a safe and peaceful demonstration,NA,NA,NA,step-2,https://twitter.com/bostonpolice/status/1267222510145323008
2020-05-31T20:27:00Z,Peaceful Protest,Protesters arrive the State House,42.357452,-71.063388,State House,step-3,NA
2020-05-31T20:52:00Z,Peaceful Protest,Peaceful protest end,42.357452,-71.063388,State House,step-3,NA
2020-05-31T21:11:04Z,Bodycam footage,An officer is seen spraying an elderly protester,42.35538,-71.0604,Downtown Crossing station,step-4,assets/video_ready/01.mp4
2020-05-31T21:14:00Z,BPD Tweets/News,BPD asks protesters to refrain from throwing things,NA,NA,NA,NA,https://twitter.com/bostonpolice/status/1267263341912887296
2020-05-31T21:16:56Z,Bodycam footage,Many officers are seen pushing protesters to the corner,42.35616,-71.06223,Park Street station,NA,assets/video_ready/02.mp4
2020-05-31T21:21:13Z,Bodycam footage,"An officer is heard saying, ""Start spraying the fuckers.""",42.35653,-71.062,Tremont St.,step-5,assets/video_ready/03.mp4
2020-05-31T21:23:23Z,Bodycam footage,"Group of officers are seen approaching the protesters, with one officer widely spraying them",42.35525,-71.06326,Tremont St.,step-6-1-1,assets/video_ready/04.mp4
2020-05-31T21:26:45Z,Bodycam footage,Multiple bike patrol officers are seen running towards a protester,42.35511,-71.06336,Tremont St.,step-6-1-2,assets/video_ready/05.mp4
2020-05-31T21:29:13Z,Bodycam footage,An officer is seen pulling a protester's clothing,42.35432,-71.06174,Washington St. & West St.,step-6-2,assets/video_ready/06.mp4
2020-05-31T21:32:00Z,BPD Tweets/News,BPD asks protesters to refrain from hurting officers,NA,NA,NA,step-7,https://twitter.com/bostonpolice/status/1267267653984452608
2020-05-31T21:40:00Z,BPD Tweets/News,BPD asks protesters to vacate the area,NA,NA,NA,step-7,https://twitter.com/bostonpolice/status/1267269715275198464
2020-05-31T21:44:44Z,Bodycam footage,Multiple officers are seen spraying the protesters,42.35387,-71.06217,Washington St. & Ave de Lafayette,step-8-1,assets/video_ready/07.mp4
2020-05-31T21:48:40Z,Bodycam footage,An officer is seen spraying a protester from a close distance,42.35604,-71.05988,North of Downtown Crossing station,NA,assets/video_ready/08.mp4
2020-05-31T21:48:40Z,Bodycam footage,An officer is seen punching a male protester,42.35625,-71.0596,North of Downtown Crossing station,step-8-2,assets/video_ready/09.mp4
2020-05-31T21:52:44Z,Bodycam footage,"An officer is heard saying, ""I wanna hit this asshole.""",42.35658,-71.05919,Washington St.,step-9,assets/video_ready/10.mp4
2020-05-31T21:56:04Z,Bodycam footage,Protesters are seen screaming and running away form police,42.35743,-71.05836,Washington St.,NA,assets/video_ready/11.mp4
2020-05-31T21:59:00Z,BPD Tweets/News,"BPD tweets protesters ""have surrendered the moral high ground.""",NA,NA,NA,step-9,https://twitter.com/bostonpolice/status/1267274567388626947
2020-05-31T22:08:06Z,Bodycam footage,An officer is seen pushing a protester on the ground,42.35702,-71.06143,Trenmont St.,step-10,assets/video_ready/12.mp4
2020-05-31T22:11:12Z,Bodycam footage,Officers are seen chasing protesters,42.35709,-71.06136,Trenmont St.,NA,assets/video_ready/13.mp4
2020-05-31T22:20:12Z,Bodycam footage,An officer is heard talking about using a police vehicle to attack demonstrators,42.35551,-71.06067,Downtown Crossing station,step-11,assets/video_ready/14.mp4
2020-05-31T22:32:00Z,BPD Tweets/News,"BPD stresses the ""officers are fighting to protect"" the city",NA,NA,NA,step-11,https://twitter.com/bostonpolice/status/1267282825881010176
2020-05-31T22:37:00Z,BPD Tweets/News,BPD again urges protesters to go home,NA,NA,NA,step-11,https://twitter.com/bostonpolice/status/1267284115235184640
2020-05-31T22:43:16Z,Bodycam footage,A protester is seen taunting officers,42.35662,-71.06211,North of Boston Common,NA,assets/video_ready/15.mp4
2020-05-31T22:44:15Z,Bodycam footage,An officer is seen pushing a protester on the ground,42.35647,-71.06207,Park Street station,step-12,assets/video_ready/16.mp4
2020-05-31T23:34:17Z,Bodycam footage,An officer is seen handing another officer a necktie,42.35541495,-71.0604868,Downtown Crossing station,NA,assets/video_ready/18.mp4
2020-05-31T23:48:00Z,BPD Tweets/News,BPD asks protesters to vacate the area and leave the city,NA,NA,NA,NA,https://twitter.com/bostonpolice/status/1267302031280222212
NA,BPD Tweets/News,BPD confirms 53 arrests on the night of May 31st,NA,NA,NA,step-13,https://bpdnews.com/news/2020/6/1/bpd-confirms-fifty-three-arrests-made-and-one-summons-issued-following-protests-in-boston
