Precinct,Annissa Essaibi George,Richard Spagnuolo,Andrea Campbell,Kim Janey,Michelle Wu,Jon Santiago,Robert Cappucci,John Barros,Total Votes,Unresolved Write-In
"WARD 1, PRECINCT 1",85,4,92,49,152,0,10,11,403,0
"WARD 1, PRECINCT 2",52,1,40,21,81,0,18,7,220,0
"WARD 1, PRECINCT 3",91,2,107,104,297,0,13,15,632,3
"WARD 1, PRECINCT 4",51,1,35,40,73,1,7,3,211,0
"WARD 1, PRECINCT 5",56,4,55,50,128,0,4,12,310,1
"WARD 1, PRECINCT 6",65,3,33,49,90,0,8,6,254,0
"WARD 1, PRECINCT 7",46,1,41,45,96,1,8,2,240,0
"WARD 1, PRECINCT 8",78,3,48,59,134,1,11,2,336,0
"WARD 1, PRECINCT 9",61,0,51,28,83,0,3,4,230,0
"WARD 1, PRECINCT 10",32,2,21,29,60,0,9,3,156,0
"WARD 1, PRECINCT 11",170,1,21,48,130,0,19,6,396,1
"WARD 1, PRECINCT 12",208,1,38,38,103,2,15,5,411,1
"WARD 1, PRECINCT 13",182,1,46,63,160,1,13,4,470,0
"WARD 1, PRECINCT 14",106,3,20,39,67,1,9,1,247,1
"WARD 1, PRECINCT 15",0,0,0,0,0,0,0,0,0,0
"WARD 2, PRECINCT 1",226,3,109,57,236,0,16,19,667,1
"WARD 2, PRECINCT 2",163,3,114,89,281,1,24,23,699,1
"WARD 2, PRECINCT 3",134,0,135,32,187,1,14,18,521,0
"WARD 2, PRECINCT 4",138,0,62,43,158,1,9,11,422,0
"WARD 2, PRECINCT 5",204,0,81,23,193,2,11,10,525,1
"WARD 2, PRECINCT 6",287,1,118,38,208,1,22,12,688,1
"WARD 2, PRECINCT 7",213,1,74,46,183,0,17,15,551,2
"WARD 3, PRECINCT 1",267,26,147,72,324,4,13,24,878,1
"WARD 3, PRECINCT 2",95,12,57,31,137,1,3,12,348,0
"WARD 3, PRECINCT 3",101,24,52,27,195,1,4,7,412,1
"WARD 3, PRECINCT 4",118,41,53,20,186,1,9,12,440,0
"WARD 3, PRECINCT 5",151,4,174,109,402,3,12,31,889,3
"WARD 3, PRECINCT 6",205,4,222,117,506,7,8,32,"1,102",1
"WARD 3, PRECINCT 7",148,0,367,91,437,1,3,36,"1,083",0
"WARD 3, PRECINCT 8",162,1,189,342,743,4,13,26,"1,481",1
"WARD 4, PRECINCT 1",76,0,178,44,263,1,0,16,578,0
"WARD 4, PRECINCT 2",101,1,170,145,339,9,6,32,804,1
"WARD 4, PRECINCT 3",51,0,118,61,184,5,0,14,434,1
"WARD 4, PRECINCT 4",54,1,154,74,155,4,1,15,458,0
"WARD 4, PRECINCT 5",49,1,77,86,98,6,3,10,330,0
"WARD 4, PRECINCT 6",26,0,42,53,96,1,1,2,221,0
"WARD 4, PRECINCT 7",20,0,68,45,104,6,2,6,251,0
"WARD 4, PRECINCT 8",29,0,43,51,114,2,3,5,248,1
"WARD 4, PRECINCT 9",8,0,8,37,27,3,0,2,85,0
"WARD 4, PRECINCT 10",0,0,7,6,22,0,0,2,37,0
"WARD 5, PRECINCT 1",154,1,225,214,531,7,4,27,"1,163",0
"WARD 5, PRECINCT 2",19,0,62,24,138,2,2,8,255,0
"WARD 5, PRECINCT 3",66,0,122,35,202,0,2,16,443,0
"WARD 5, PRECINCT 4",56,1,100,31,210,0,5,11,414,0
"WARD 5, PRECINCT 5",42,0,54,13,85,2,2,10,208,0
"WARD 5, PRECINCT 6",80,0,123,40,183,1,3,15,445,0
"WARD 5, PRECINCT 7",110,0,130,42,205,5,4,10,507,1
"WARD 5, PRECINCT 8",85,1,123,28,180,2,3,11,433,0
"WARD 5, PRECINCT 9",94,0,124,36,237,2,6,18,517,0
"WARD 5, PRECINCT 10",32,0,66,36,135,1,0,11,281,0
"WARD 5, PRECINCT 11",56,0,85,20,126,1,2,7,297,0
"WARD 5, PRECINCT 2A",19,0,38,34,96,1,2,4,194,0
"WARD 6, PRECINCT 1",283,2,262,122,543,2,25,45,"1,287",3
"WARD 6, PRECINCT 2",120,1,29,29,92,0,8,9,289,1
"WARD 6, PRECINCT 3",183,0,52,25,114,0,5,6,385,0
"WARD 6, PRECINCT 4",219,2,64,18,126,0,7,15,451,0
"WARD 6, PRECINCT 5",185,0,45,21,123,3,19,13,409,0
"WARD 6, PRECINCT 6",294,0,33,19,81,1,12,16,457,1
"WARD 6, PRECINCT 7",272,0,59,19,69,0,13,5,437,0
"WARD 6, PRECINCT 8",272,1,35,17,77,0,6,14,423,1
"WARD 6, PRECINCT 9",336,1,31,17,79,1,13,6,484,0
"WARD 7, PRECINCT 1",299,0,40,19,55,2,20,9,444,0
"WARD 7, PRECINCT 2",329,3,41,19,109,0,7,10,518,0
"WARD 7, PRECINCT 3",341,4,57,28,124,0,17,13,587,3
"WARD 7, PRECINCT 4",165,0,55,13,79,0,9,12,334,1
"WARD 7, PRECINCT 5",109,0,45,29,99,1,8,11,302,0
"WARD 7, PRECINCT 6",89,0,28,36,85,4,10,6,259,1
"WARD 7, PRECINCT 7",31,0,23,58,76,1,9,4,203,1
"WARD 7, PRECINCT 8",161,3,36,42,93,1,4,16,358,2
"WARD 7, PRECINCT 9",129,0,55,15,74,1,3,8,286,1
"WARD 7, PRECINCT 10",22,0,43,72,43,3,2,100,285,0
"WARD 8, PRECINCT 1",26,0,74,88,115,9,0,12,325,1
"WARD 8, PRECINCT 2",62,0,225,107,194,5,5,5,603,0
"WARD 8, PRECINCT 3",4,0,61,79,44,0,0,21,210,1
"WARD 8, PRECINCT 4",4,0,27,79,30,1,0,4,145,0
"WARD 8, PRECINCT 5",8,0,45,113,39,1,3,143,352,0
"WARD 8, PRECINCT 6",12,0,23,15,27,0,0,63,140,0
"WARD 8, PRECINCT 7",13,0,41,70,31,1,1,23,180,0
"WARD 9, PRECINCT 1",47,2,82,123,188,6,1,13,462,0
"WARD 9, PRECINCT 2",63,0,203,83,191,6,1,10,557,0
"WARD 9, PRECINCT 3",36,0,105,238,182,5,2,14,583,1
"WARD 9, PRECINCT 4",12,2,48,149,106,6,1,6,330,0
"WARD 9, PRECINCT 5",22,0,105,324,133,1,0,13,598,0
"WARD 10, PRECINCT 1",41,1,48,68,88,4,0,4,255,1
"WARD 10, PRECINCT 2",28,0,28,46,67,0,4,3,176,0
"WARD 10, PRECINCT 3",25,1,33,40,55,0,0,3,157,0
"WARD 10, PRECINCT 4",39,2,29,134,135,5,4,10,358,0
"WARD 10, PRECINCT 5",27,0,56,59,96,0,2,4,244,0
"WARD 10, PRECINCT 6",12,0,67,75,124,0,1,14,295,2
"WARD 10, PRECINCT 7",29,1,57,102,142,6,2,5,344,0
"WARD 10, PRECINCT 8",45,0,96,83,282,5,1,6,518,0
"WARD 10, PRECINCT 9",46,1,161,95,327,3,1,14,648,0
"WARD 11, PRECINCT 1",13,0,72,94,85,1,1,4,270,0
"WARD 11, PRECINCT 2",20,0,89,197,120,2,1,13,442,0
"WARD 11, PRECINCT 3",16,0,53,139,49,1,0,5,263,0
"WARD 11, PRECINCT 4",29,1,94,146,200,2,4,5,481,0
"WARD 11, PRECINCT 5",36,1,86,105,210,6,3,5,453,1
"WARD 11, PRECINCT 6",29,0,144,49,211,0,1,11,445,0
"WARD 11, PRECINCT 7",33,1,135,91,312,4,0,12,589,1
"WARD 11, PRECINCT 8",49,0,188,94,385,0,1,13,731,1
"WARD 11, PRECINCT 9",26,0,129,54,223,0,0,5,438,1
"WARD 11, PRECINCT 10",15,0,131,81,246,1,2,8,484,0
"WARD 12, PRECINCT 1",18,0,64,244,88,0,2,8,424,0
"WARD 12, PRECINCT 2",18,0,97,271,72,5,1,16,480,0
"WARD 12, PRECINCT 3",8,0,41,150,38,0,0,2,239,0
"WARD 12, PRECINCT 4",14,0,55,148,57,0,0,7,281,0
"WARD 12, PRECINCT 5",7,0,34,128,35,2,0,7,213,0
"WARD 12, PRECINCT 6",11,0,48,152,35,0,0,20,266,0
"WARD 12, PRECINCT 7",23,5,77,228,91,7,0,4,435,0
"WARD 12, PRECINCT 8",8,1,35,93,32,2,0,6,177,0
"WARD 12, PRECINCT 9",5,0,60,132,45,1,1,7,252,1
"WARD 13, PRECINCT 1",15,0,54,150,46,2,1,56,324,0
"WARD 13, PRECINCT 2",4,1,29,48,19,0,0,15,116,0
"WARD 13, PRECINCT 3",34,0,41,49,73,0,1,8,206,0
"WARD 13, PRECINCT 4",9,0,49,84,33,3,3,35,216,0
"WARD 13, PRECINCT 5",19,0,52,53,51,2,0,63,240,0
