Precinct,Annissa Essaibi George,Richard Spagnuolo,Andrea Campbell,Kim Janey,Michelle Wu,Jon Santiago,Robert Cappucci,John Barros,Total Votes,Unresolved Write-In,WARD_PRECINCT,
"WARD 1, PRECINCT 1",85,4,92,49,152,0,10,11,403,0,101,
"WARD 1, PRECINCT 2",52,1,40,21,81,0,18,7,220,0,102,
"WARD 1, PRECINCT 3",91,2,107,104,297,0,13,15,632,3,103,
"WARD 1, PRECINCT 4",51,1,35,40,73,1,7,3,211,0,104,
"WARD 1, PRECINCT 5",56,4,55,50,128,0,4,12,310,1,105,
"WARD 1, PRECINCT 6",65,3,33,49,90,0,8,6,254,0,106,
"WARD 1, PRECINCT 7",46,1,41,45,96,1,8,2,240,0,107,
"WARD 1, PRECINCT 8",78,3,48,59,134,1,11,2,336,0,108,
"WARD 1, PRECINCT 9",61,0,51,28,83,0,3,4,230,0,109,
"WARD 1, PRECINCT 10",32,2,21,29,60,0,9,3,156,0,110,
"WARD 1, PRECINCT 11",170,1,21,48,130,0,19,6,396,1,111,
"WARD 1, PRECINCT 12",208,1,38,38,103,2,15,5,411,1,112,
"WARD 1, PRECINCT 13",182,1,46,63,160,1,13,4,470,0,113,
"WARD 1, PRECINCT 14",106,3,20,39,67,1,9,1,247,1,114,
"WARD 1, PRECINCT 15",0,0,0,0,0,0,0,0,0,0,115,
"WARD 2, PRECINCT 1",226,3,109,57,236,0,16,19,667,1,201,
"WARD 2, PRECINCT 2",163,3,114,89,281,1,24,23,699,1,202,
"WARD 2, PRECINCT 3",134,0,135,32,187,1,14,18,521,0,203,
"WARD 2, PRECINCT 4",138,0,62,43,158,1,9,11,422,0,204,
"WARD 2, PRECINCT 5",204,0,81,23,193,2,11,10,525,1,205,
"WARD 2, PRECINCT 6",287,1,118,38,208,1,22,12,688,1,206,
"WARD 2, PRECINCT 7",213,1,74,46,183,0,17,15,551,2,207,
"WARD 3, PRECINCT 1",267,26,147,72,324,4,13,24,878,1,301,
"WARD 3, PRECINCT 2",95,12,57,31,137,1,3,12,348,0,302,
"WARD 3, PRECINCT 3",101,24,52,27,195,1,4,7,412,1,303,
"WARD 3, PRECINCT 4",118,41,53,20,186,1,9,12,440,0,304,
"WARD 3, PRECINCT 5",151,4,174,109,402,3,12,31,889,3,305,
"WARD 3, PRECINCT 6",205,4,222,117,506,7,8,32,"1,102",1,306,
"WARD 3, PRECINCT 7",148,0,367,91,437,1,3,36,"1,083",0,307,
"WARD 3, PRECINCT 8",162,1,189,342,743,4,13,26,"1,481",1,308,
"WARD 4, PRECINCT 1",76,0,178,44,263,1,0,16,578,0,401,
"WARD 4, PRECINCT 2",101,1,170,145,339,9,6,32,804,1,402,
"WARD 4, PRECINCT 3",51,0,118,61,184,5,0,14,434,1,403,
"WARD 4, PRECINCT 4",54,1,154,74,155,4,1,15,458,0,404,
"WARD 4, PRECINCT 5",49,1,77,86,98,6,3,10,330,0,405,
"WARD 4, PRECINCT 6",26,0,42,53,96,1,1,2,221,0,406,
"WARD 4, PRECINCT 7",20,0,68,45,104,6,2,6,251,0,407,
"WARD 4, PRECINCT 8",29,0,43,51,114,2,3,5,248,1,408,
"WARD 4, PRECINCT 9",8,0,8,37,27,3,0,2,85,0,409,
"WARD 4, PRECINCT 10",0,0,7,6,22,0,0,2,37,0,410,
"WARD 5, PRECINCT 1",154,1,225,214,531,7,4,27,"1,163",0,501,
"WARD 5, PRECINCT 2",19,0,62,24,138,2,2,8,255,0,502,
"WARD 5, PRECINCT 3",66,0,122,35,202,0,2,16,443,0,503,
"WARD 5, PRECINCT 4",56,1,100,31,210,0,5,11,414,0,504,
"WARD 5, PRECINCT 5",42,0,54,13,85,2,2,10,208,0,505,
"WARD 5, PRECINCT 6",80,0,123,40,183,1,3,15,445,0,506,
"WARD 5, PRECINCT 7",110,0,130,42,205,5,4,10,507,1,507,
"WARD 5, PRECINCT 8",85,1,123,28,180,2,3,11,433,0,508,
"WARD 5, PRECINCT 9",94,0,124,36,237,2,6,18,517,0,509,
"WARD 5, PRECINCT 10",32,0,66,36,135,1,0,11,281,0,510,
