Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Michelle Wu,Michelle Wu Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 1, PRECINCT 1",204,35.11,377,64.89,581,0,0.00,0101
"WARD 1, PRECINCT 2",116,35.37,212,64.63,328,0,0.00,0102
"WARD 1, PRECINCT 3",282,29.65,665,69.93,951,4,0.42,0103
"WARD 1, PRECINCT 4",100,30.86,222,68.52,324,2,0.62,0104
"WARD 1, PRECINCT 5",130,32.02,274,67.49,406,2,0.49,0105
"WARD 1, PRECINCT 6",114,32.76,234,67.24,348,0,0.00,0106
"WARD 1, PRECINCT 7",119,32.87,239,66.02,362,4,1.10,0107
"WARD 1, PRECINCT 8",167,35.01,308,64.57,477,2,0.42,0108
"WARD 1, PRECINCT 9",127,34.14,245,65.86,372,0,0.00,0109
"WARD 1, PRECINCT 10",74,35.75,133,64.25,207,0,0.00,0110
"WARD 1, PRECINCT 11",311,54.85,254,44.80,567,2,0.35,0111
"WARD 1, PRECINCT 12",346,59.15,235,40.17,585,4,0.68,0112
"WARD 1, PRECINCT 13",357,52.81,316,46.75,676,3,0.44,0113
"WARD 1, PRECINCT 14",184,55.26,146,43.84,333,3,0.90,0114
"WARD 1, PRECINCT 15",0,0.00,1,100.00,1,0,0.00,0115
"WARD 2, PRECINCT 1",441,47.37,485,52.09,931,5,0.54,0201
"WARD 2, PRECINCT 2",428,40.42,624,58.92,1059,7,0.66,0202
"WARD 2, PRECINCT 3",302,41.43,426,58.44,729,1,0.14,0203
"WARD 2, PRECINCT 4",291,49.16,298,50.34,592,3,0.51,0204
"WARD 2, PRECINCT 5",432,55.53,346,44.47,778,0,0.00,0205
"WARD 2, PRECINCT 6",506,53.83,432,45.96,940,2,0.21,0206
"WARD 2, PRECINCT 7",394,50.64,379,48.71,778,5,0.64,0207
"WARD 3, PRECINCT 1",601,49.34,613,50.33,1218,4,0.33,0301
"WARD 3, PRECINCT 2",214,41.63,300,58.37,514,0,0.00,0302
"WARD 3, PRECINCT 3",247,44.34,310,55.66,557,0,0.00,0303
"WARD 3, PRECINCT 4",285,43.18,375,56.82,660,0,0.00,0304
"WARD 3, PRECINCT 5",381,30.48,868,69.44,1250,1,0.08,0305
"WARD 3, PRECINCT 6",564,35.92,1002,63.82,1570,4,0.25,0306
"WARD 3, PRECINCT 7",438,30.27,1003,69.32,1447,6,0.41,0307
