Precinct,Times Cast,Registered Voters,Percentage,WARD_PRECINCT
"WARD 1, PRECINCT 1",1700,587,34.53,0101
"WARD 1, PRECINCT 2",1256,329,26.19,0110
"WARD 1, PRECINCT 3",3429,954,27.82,0111
"WARD 1, PRECINCT 4",1452,325,22.38,0112
"WARD 1, PRECINCT 5",1628,408,25.06,0113
"WARD 1, PRECINCT 6",1427,351,24.60,0114
"WARD 1, PRECINCT 7",1520,364,23.95,0115
"WARD 1, PRECINCT 8",2059,482,23.41,0102
"WARD 1, PRECINCT 9",1304,377,28.91,0103
"WARD 1, PRECINCT 10",967,214,22.13,0104
"WARD 1, PRECINCT 11",1540,570,37.01,0105
"WARD 1, PRECINCT 12",1522,589,38.70,0106
"WARD 1, PRECINCT 13",2214,681,30.76,0107
"WARD 1, PRECINCT 14",1055,333,31.56,0108
"WARD 1, PRECINCT 15",1,1,100.00,0109
"WARD 2, PRECINCT 1",2376,938,39.48,1001
"WARD 2, PRECINCT 2",3455,1069,30.94,1002
"WARD 2, PRECINCT 3",1664,732,43.99,1003
"WARD 2, PRECINCT 4",1775,593,33.41,1004
"WARD 2, PRECINCT 5",1775,782,44.06,1005
"WARD 2, PRECINCT 6",2172,948,43.65,1006
"WARD 2, PRECINCT 7",2152,782,36.34,1007
"WARD 3, PRECINCT 1",3343,1221,36.52,1008
"WARD 3, PRECINCT 2",1746,516,29.55,1009
"WARD 3, PRECINCT 3",1935,558,28.84,1101
"WARD 3, PRECINCT 4",2340,661,28.25,1110
"WARD 3, PRECINCT 5",4129,1251,30.30,1102
"WARD 3, PRECINCT 6",5285,1577,29.84,1103
"WARD 3, PRECINCT 7",4100,1450,35.37,1104
"WARD 3, PRECINCT 8",7347,1895,25.79,1105
"WARD 4, PRECINCT 1",1984,779,39.26,1106
"WARD 4, PRECINCT 2",3300,1096,33.21,1107
"WARD 4, PRECINCT 3",1419,590,41.58,1108
"WARD 4, PRECINCT 4",1954,667,34.14,1109
"WARD 4, PRECINCT 5",1567,457,29.16,1201
"WARD 4, PRECINCT 6",1504,307,20.41,1202
"WARD 4, PRECINCT 7",1518,349,22.99,1203
"WARD 4, PRECINCT 8",1567,320,20.42,1204
"WARD 4, PRECINCT 9",1030,125,12.14,1205
"WARD 4, PRECINCT 10",481,57,11.85,1206
"WARD 5, PRECINCT 1",4734,1602,33.84,1207
"WARD 5, PRECINCT 2",1670,403,24.13,1208
"WARD 5, PRECINCT 3",1808,638,35.29,1209
"WARD 5, PRECINCT 4",2360,626,26.53,1301
"WARD 5, PRECINCT 5",699,296,42.35,1310
"WARD 5, PRECINCT 6",1879,623,33.16,1302
"WARD 5, PRECINCT 7",2368,792,33.45,1303
"WARD 5, PRECINCT 8",2143,642,29.96,1304
"WARD 5, PRECINCT 9",2952,781,26.46,1305
"WARD 5, PRECINCT 10",1887,397,21.04,1306
"WARD 5, PRECINCT 11",1202,461,38.35,1307
"WARD 5, PRECINCT 2A",1189,276,23.21,1308
"WARD 6, PRECINCT 1",7924,1994,25.16,1309
"WARD 6, PRECINCT 2",1700,418,24.59,1401
"WARD 6, PRECINCT 3",2421,645,26.64,1410
"WARD 6, PRECINCT 4",2216,692,31.23,1708
"WARD 6, PRECINCT 5",2207,651,29.50,1411
"WARD 6, PRECINCT 6",1780,618,34.72,1709
"WARD 6, PRECINCT 7",1995,641,32.13,1412
"WARD 6, PRECINCT 8",1783,617,34.60,1710
"WARD 6, PRECINCT 9",1751,670,38.26,1413
"WARD 7, PRECINCT 1",1573,583,37.06,1711
"WARD 7, PRECINCT 2",2020,719,35.59,1414
"WARD 7, PRECINCT 3",2144,793,36.99,1712
"WARD 7, PRECINCT 4",1927,525,27.24,1402
"WARD 7, PRECINCT 5",1787,454,25.41,1403
"WARD 7, PRECINCT 6",1680,414,24.64,1404
"WARD 7, PRECINCT 7",1437,300,20.88,1405
"WARD 7, PRECINCT 8",1607,512,31.86,1406
"WARD 7, PRECINCT 9",1256,396,31.53,1407
"WARD 7, PRECINCT 10",1469,361,24.57,1408
"WARD 8, PRECINCT 1",1703,445,26.13,1706
"WARD 8, PRECINCT 2",3230,791,24.49,1409
"WARD 8, PRECINCT 3",1533,262,17.09,1707
"WARD 8, PRECINCT 4",760,169,22.24,1501
"WARD 8, PRECINCT 5",1479,360,24.34,1713
"WARD 8, PRECINCT 6",574,164,28.57,1502
"WARD 8, PRECINCT 7",1141,282,24.72,1714
"WARD 9, PRECINCT 1",2040,619,30.34,1503
"WARD 9, PRECINCT 2",2471,797,32.25,1801
"WARD 9, PRECINCT 3",3333,748,22.44,1504
"WARD 9, PRECINCT 4",2332,431,18.48,1802
"WARD 9, PRECINCT 5",2229,717,32.17,1505
"WARD 10, PRECINCT 1",1046,330,31.55,1803
"WARD 10, PRECINCT 2",1104,236,21.38,1506
"WARD 10, PRECINCT 3",1084,216,19.93,1804
"WARD 10, PRECINCT 4",2000,473,23.65,1507
"WARD 10, PRECINCT 5",1340,319,23.81,1805
"WARD 10, PRECINCT 6",1465,412,28.12,1508
"WARD 10, PRECINCT 7",2021,491,24.29,1806
"WARD 10, PRECINCT 8",2257,743,32.92,1509
"WARD 10, PRECINCT 9",2278,885,38.85,1807
"WARD 11, PRECINCT 1",1041,333,31.99,1601
"WARD 11, PRECINCT 2",1738,441,25.37,1808
"WARD 11, PRECINCT 3",1359,328,24.14,1610
"WARD 11, PRECINCT 4",2265,618,27.28,1817
"WARD 11, PRECINCT 5",1858,568,30.57,1611
"WARD 11, PRECINCT 6",1333,551,41.34,1818
"WARD 11, PRECINCT 7",1787,754,42.19,1612
"WARD 11, PRECINCT 8",2349,992,42.23,1819
"WARD 11, PRECINCT 9",1099,540,49.14,1602
"WARD 11, PRECINCT 10",1458,631,43.28,1809
"WARD 12, PRECINCT 1",1822,508,27.88,1603
"WARD 12, PRECINCT 2",2324,578,24.87,1810
"WARD 12, PRECINCT 3",999,292,29.23,1604
"WARD 12, PRECINCT 4",1305,338,25.90,1811
"WARD 12, PRECINCT 5",757,244,32.23,1605
"WARD 12, PRECINCT 6",1020,318,31.18,1812
"WARD 12, PRECINCT 7",2737,581,21.23,1606
"WARD 12, PRECINCT 8",936,212,22.65,1813
"WARD 12, PRECINCT 9",1090,303,27.80,1607
"WARD 13, PRECINCT 1",1604,359,22.38,1814
"WARD 13, PRECINCT 2",664,133,20.03,1608
"WARD 13, PRECINCT 3",1662,318,19.13,1815
"WARD 13, PRECINCT 4",1154,272,23.57,1609
"WARD 13, PRECINCT 5",1133,308,27.18,1816
"WARD 13, PRECINCT 6",1477,438,29.65,1701
"WARD 13, PRECINCT 7",1628,522,32.06,1820
"WARD 13, PRECINCT 8",1439,419,29.12,1702
"WARD 13, PRECINCT 9",1484,507,34.16,1821
"WARD 13, PRECINCT 10",1887,922,48.86,1703
"WARD 14, PRECINCT 1",2874,612,21.29,1822
"WARD 14, PRECINCT 2",2724,611,22.43,1704
"WARD 14, PRECINCT 3",1372,273,19.90,1823
"WARD 14, PRECINCT 4",1666,382,22.93,1705
"WARD 14, PRECINCT 5",1239,263,21.23,1901
"WARD 14, PRECINCT 6",1214,283,23.31,1910
"WARD 14, PRECINCT 7",1273,276,21.68,1911
"WARD 14, PRECINCT 8",1337,423,31.64,1912
"WARD 14, PRECINCT 9",1449,265,18.29,1913
"WARD 14, PRECINCT 10",1531,360,23.51,1902
"WARD 14, PRECINCT 11",1394,335,24.03,1903
"WARD 14, PRECINCT 12",751,195,25.97,1904
"WARD 14, PRECINCT 13",1136,298,26.23,1905
"WARD 14, PRECINCT 14",1319,320,24.26,1906
"WARD 15, PRECINCT 1",1714,397,23.16,1907
"WARD 15, PRECINCT 2",1154,247,21.40,1908
"WARD 15, PRECINCT 3",821,173,21.07,1909
"WARD 15, PRECINCT 4",2194,470,21.42,0201
"WARD 15, PRECINCT 5",1421,323,22.73,0202
"WARD 15, PRECINCT 6",878,265,30.18,0203
"WARD 15, PRECINCT 7",1191,280,23.51,0204
"WARD 15, PRECINCT 8",1141,280,24.54,0205
"WARD 15, PRECINCT 9",1177,277,23.53,0206
"WARD 16, PRECINCT 1",1271,344,27.07,0207
"WARD 16, PRECINCT 2",1018,410,40.28,2001
"WARD 16, PRECINCT 3",1611,432,26.82,2010
"WARD 16, PRECINCT 4",1418,436,30.75,2011
"WARD 16, PRECINCT 5",1605,578,36.01,2012
"WARD 16, PRECINCT 6",2142,618,28.85,2013
"WARD 16, PRECINCT 7",1339,686,51.23,2014
"WARD 16, PRECINCT 8",1529,771,50.43,2015
"WARD 16, PRECINCT 9",1599,950,59.41,2016
"WARD 16, PRECINCT 10",1532,655,42.75,2017
"WARD 16, PRECINCT 11",1541,744,48.28,2018
"WARD 16, PRECINCT 12",1208,846,70.03,2019
"WARD 17, PRECINCT 1",1312,313,23.86,2002
"WARD 17, PRECINCT 2",910,231,25.38,2020
"WARD 17, PRECINCT 3",1994,620,31.09,2003
"WARD 17, PRECINCT 4",2115,799,37.78,2004
"WARD 17, PRECINCT 5",1030,233,22.62,2005
"WARD 17, PRECINCT 6",1443,473,32.78,2006
"WARD 17, PRECINCT 7",848,226,26.65,2007
"WARD 17, PRECINCT 8",1318,367,27.85,2008
"WARD 17, PRECINCT 9",1012,433,42.79,2009
"WARD 17, PRECINCT 10",1799,449,24.96,2101
"WARD 17, PRECINCT 11",772,213,27.59,2110
"WARD 17, PRECINCT 12",981,372,37.92,2111
"WARD 17, PRECINCT 13",1422,619,43.53,2112
"WARD 17, PRECINCT 14",1413,609,43.10,2113
"WARD 18, PRECINCT 1",2405,745,30.98,2114
"WARD 18, PRECINCT 2",1622,429,26.45,2115
"WARD 18, PRECINCT 3",1798,570,31.70,2116
"WARD 18, PRECINCT 4",1901,571,30.04,2102
"WARD 18, PRECINCT 5",1872,659,35.20,2103
"WARD 18, PRECINCT 6",2123,768,36.18,2104
"WARD 18, PRECINCT 7",1650,599,36.30,2105
"WARD 18, PRECINCT 8",2914,943,32.36,2106
"WARD 18, PRECINCT 9",1615,752,46.56,2107
"WARD 18, PRECINCT 10",2342,1164,49.70,2108
"WARD 18, PRECINCT 11",1564,437,27.94,2109
"WARD 18, PRECINCT 12",1723,674,39.12,2201
"WARD 18, PRECINCT 13",1065,367,34.46,2210
"WARD 18, PRECINCT 14",1212,366,30.20,2211
"WARD 18, PRECINCT 15",1676,568,33.89,2212
"WARD 18, PRECINCT 16",1711,906,52.95,2213
"WARD 18, PRECINCT 17",1752,646,36.87,2202
"WARD 18, PRECINCT 18",2166,765,35.32,2203
"WARD 18, PRECINCT 19",2909,1028,35.34,2204
"WARD 18, PRECINCT 20",2230,993,44.53,2205
"WARD 18, PRECINCT 21",2190,678,30.96,2206
"WARD 18, PRECINCT 22",1817,914,50.30,2207
"WARD 18, PRECINCT 23",1554,326,20.98,2208
"WARD 19, PRECINCT 1",1506,692,45.95,2209
"WARD 19, PRECINCT 2",1598,953,59.64,0301
"WARD 19, PRECINCT 3",1239,630,50.85,0302
"WARD 19, PRECINCT 4",1713,852,49.74,0303
"WARD 19, PRECINCT 5",1469,695,47.31,0304
"WARD 19, PRECINCT 6",1922,986,51.30,0305
"WARD 19, PRECINCT 7",2074,828,39.92,0306
"WARD 19, PRECINCT 8",928,527,56.79,0307
"WARD 19, PRECINCT 9",898,481,53.56,0308
"WARD 19, PRECINCT 10",1856,911,49.08,0401
"WARD 19, PRECINCT 11",1807,523,28.94,0410
"WARD 19, PRECINCT 12",1240,655,52.82,0402
"WARD 19, PRECINCT 13",1218,451,37.03,0403
"WARD 20, PRECINCT 1",1617,847,52.38,0404
"WARD 20, PRECINCT 2",1802,848,47.06,0405
"WARD 20, PRECINCT 3",1901,765,40.24,0406
"WARD 20, PRECINCT 4",1326,769,57.99,0407
"WARD 20, PRECINCT 5",1795,939,52.31,0408
"WARD 20, PRECINCT 6",1728,1019,58.97,0409
"WARD 20, PRECINCT 7",1100,689,62.64,0501
"WARD 20, PRECINCT 8",1292,659,51.01,0510
"WARD 20, PRECINCT 9",1433,729,50.87,0511
"WARD 20, PRECINCT 10",2111,1097,51.97,0502
"WARD 20, PRECINCT 11",879,539,61.32,0502A
"WARD 20, PRECINCT 12",1116,718,64.34,0503
"WARD 20, PRECINCT 13",1034,656,63.44,0504
"WARD 20, PRECINCT 14",997,689,69.11,0505
"WARD 20, PRECINCT 15",1957,953,48.70,0506
"WARD 20, PRECINCT 16",2050,1061,51.76,0507
"WARD 20, PRECINCT 17",2102,1202,57.18,0508
"WARD 20, PRECINCT 18",1083,613,56.60,0509
"WARD 20, PRECINCT 19",1101,651,59.13,0601
"WARD 20, PRECINCT 20",1927,900,46.70,0602
"WARD 21, PRECINCT 1",2090,437,20.91,0603
"WARD 21, PRECINCT 2",821,81,9.87,0604
"WARD 21, PRECINCT 3",1475,233,15.80,0605
"WARD 21, PRECINCT 4",1220,213,17.46,0606
"WARD 21, PRECINCT 5",1815,355,19.56,0607
"WARD 21, PRECINCT 6",1194,352,29.48,0608
"WARD 21, PRECINCT 7",1730,361,20.87,0609
"WARD 21, PRECINCT 8",2043,424,20.75,0701
"WARD 21, PRECINCT 9",2206,437,19.81,0710
"WARD 21, PRECINCT 10",1581,343,21.70,0702
"WARD 21, PRECINCT 11",1931,408,21.13,0703
"WARD 21, PRECINCT 12",1723,443,25.71,0704
"WARD 21, PRECINCT 13",2228,710,31.87,0705
"WARD 21, PRECINCT 14",1130,251,22.21,0706
"WARD 21, PRECINCT 15",1447,345,23.84,0707
"WARD 21, PRECINCT 16",1726,526,30.48,0708
"WARD 22, PRECINCT 1",2441,546,22.37,0709
"WARD 22, PRECINCT 2",2703,678,25.08,0801
"WARD 22, PRECINCT 3",2172,605,27.85,0802
"WARD 22, PRECINCT 4",1456,544,37.36,0803
"WARD 22, PRECINCT 5",1556,342,21.98,0804
"WARD 22, PRECINCT 6",1322,322,24.36,0805
"WARD 22, PRECINCT 7",1783,559,31.35,0806
"WARD 22, PRECINCT 8",1351,425,31.46,0807
"WARD 22, PRECINCT 9",1473,471,31.98,0901
"WARD 22, PRECINCT 10",1677,541,32.26,0902
"WARD 22, PRECINCT 11",1173,395,33.67,0903
"WARD 22, PRECINCT 12",1366,401,29.36,0904
"WARD 22, PRECINCT 13",1045,326,31.20,0905
BOSTON - Total,442049,"143,547",32.47,
