Precinct,Registered Voters,Voters Cast,Percentage,WARD_PRECINCT
"WARD 1, PRECINCT 1","1,700",587,34.53,0101
"WARD 1, PRECINCT 2","1,256",329,26.19,0102
"WARD 1, PRECINCT 3","3,429",954,27.82,0103
"WARD 1, PRECINCT 4","1,452",325,22.38,0104
"WARD 1, PRECINCT 5","1,628",408,25.06,0105
"WARD 1, PRECINCT 6","1,427",351,24.60,0106
"WARD 1, PRECINCT 7","1,520",364,23.95,0107
"WARD 1, PRECINCT 8","2,059",482,23.41,0108
"WARD 1, PRECINCT 9","1,304",377,28.91,0109
"WARD 1, PRECINCT 10",967,214,22.13,0110
"WARD 1, PRECINCT 11","1,540",570,37.01,0111
"WARD 1, PRECINCT 12","1,522",589,38.70,0112
"WARD 1, PRECINCT 13","2,214",681,30.76,0113
"WARD 1, PRECINCT 14","1,055",333,31.56,0114
"WARD 1, PRECINCT 15",1,1,100.00,0115
"WARD 2, PRECINCT 1","2,376",938,39.48,0201
"WARD 2, PRECINCT 2","3,455",1069,30.94,0202
"WARD 2, PRECINCT 3","1,664",732,43.99,0203
"WARD 2, PRECINCT 4","1,775",593,33.41,0204
"WARD 2, PRECINCT 5","1,775",782,44.06,0205
"WARD 2, PRECINCT 6","2,172",948,43.65,0206
"WARD 2, PRECINCT 7","2,152",782,36.34,0207
"WARD 3, PRECINCT 1","3,343",1221,36.52,0301
"WARD 3, PRECINCT 2","1,746",516,29.55,0302
"WARD 3, PRECINCT 3","1,935",558,28.84,0303
"WARD 3, PRECINCT 4","2,340",661,28.25,0304
"WARD 3, PRECINCT 5","4,129",1251,30.30,0305
"WARD 3, PRECINCT 6","5,285",1577,29.84,0306
"WARD 3, PRECINCT 7","4,100",1450,35.37,0307
"WARD 3, PRECINCT 8","7,347",1895,25.79,0308
"WARD 4, PRECINCT 1","1,984",779,39.26,0401
"WARD 4, PRECINCT 2","3,300",1096,33.21,0402
"WARD 4, PRECINCT 3","1,419",590,41.58,0403
"WARD 4, PRECINCT 4","1,954",667,34.14,0404
"WARD 4, PRECINCT 5","1,567",457,29.16,0405
"WARD 4, PRECINCT 6","1,504",307,20.41,0406
"WARD 4, PRECINCT 7","1,518",349,22.99,0407
"WARD 4, PRECINCT 8","1,567",320,20.42,0408
"WARD 4, PRECINCT 9","1,030",125,12.14,0409
"WARD 4, PRECINCT 10",481,57,11.85,0410
"WARD 5, PRECINCT 1","4,734",1602,33.84,0501
"WARD 5, PRECINCT 2","1,670",403,24.13,0502
"WARD 5, PRECINCT 3","1,808",638,35.29,0503
"WARD 5, PRECINCT 4","2,360",626,26.53,0504
"WARD 5, PRECINCT 5",699,296,42.35,0505
"WARD 5, PRECINCT 6","1,879",623,33.16,0506
"WARD 5, PRECINCT 7","2,368",792,33.45,0507
"WARD 5, PRECINCT 8","2,143",642,29.96,0508
"WARD 5, PRECINCT 9","2,952",781,26.46,0509
"WARD 5, PRECINCT 10","1,887",397,21.04,0510
"WARD 5, PRECINCT 11","1,202",461,38.35,0511
"WARD 5, PRECINCT 2A","1,189",276,23.21,0502A
"WARD 6, PRECINCT 1","7,924",1994,25.16,0601
"WARD 6, PRECINCT 2","1,700",418,24.59,0602
"WARD 6, PRECINCT 3","2,421",645,26.64,0603
"WARD 6, PRECINCT 4","2,216",692,31.23,0604
"WARD 6, PRECINCT 5","2,207",651,29.50,0605
"WARD 6, PRECINCT 6","1,780",618,34.72,0606
"WARD 6, PRECINCT 7","1,995",641,32.13,0607
"WARD 6, PRECINCT 8","1,783",617,34.60,0608
"WARD 6, PRECINCT 9","1,751",670,38.26,0609
"WARD 7, PRECINCT 1","1,573",583,37.06,0701
"WARD 7, PRECINCT 2","2,020",719,35.59,0702
"WARD 7, PRECINCT 3","2,144",793,36.99,0703
"WARD 7, PRECINCT 4","1,927",525,27.24,0704
"WARD 7, PRECINCT 5","1,787",454,25.41,0705
"WARD 7, PRECINCT 6","1,680",414,24.64,0706
"WARD 7, PRECINCT 7","1,437",300,20.88,0707
"WARD 7, PRECINCT 8","1,607",512,31.86,0708
"WARD 7, PRECINCT 9","1,256",396,31.53,0709
"WARD 7, PRECINCT 10","1,469",361,24.57,0710
"WARD 8, PRECINCT 1","1,703",445,26.13,0801
"WARD 8, PRECINCT 2","3,230",791,24.49,0802
"WARD 8, PRECINCT 3","1,533",262,17.09,0803
"WARD 8, PRECINCT 4",760,169,22.24,0804
"WARD 8, PRECINCT 5","1,479",360,24.34,0805
"WARD 8, PRECINCT 6",574,164,28.57,0806
"WARD 8, PRECINCT 7","1,141",282,24.72,0807
"WARD 9, PRECINCT 1","2,040",619,30.34,0901
"WARD 9, PRECINCT 2","2,471",797,32.25,0902
"WARD 9, PRECINCT 3","3,333",748,22.44,0903
"WARD 9, PRECINCT 4","2,332",431,18.48,0904
"WARD 9, PRECINCT 5","2,229",717,32.17,0905
"WARD 10, PRECINCT 1","1,046",330,31.55,1001
"WARD 10, PRECINCT 2","1,104",236,21.38,1002
"WARD 10, PRECINCT 3","1,084",216,19.93,1003
"WARD 10, PRECINCT 4","2,000",473,23.65,1004
"WARD 10, PRECINCT 5","1,340",319,23.81,1005
"WARD 10, PRECINCT 6","1,465",412,28.12,1006
"WARD 10, PRECINCT 7","2,021",491,24.29,1007
"WARD 10, PRECINCT 8","2,257",743,32.92,1008
"WARD 10, PRECINCT 9","2,278",885,38.85,1009
"WARD 11, PRECINCT 1","1,041",333,31.99,1101
"WARD 11, PRECINCT 2","1,738",441,25.37,1102
"WARD 11, PRECINCT 3","1,359",328,24.14,1103
"WARD 11, PRECINCT 4","2,265",618,27.28,1104
