Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Richard Spagnuolo,Richard Spagnuolo Percent,Andrea Campbell,Andrea Campbell Percent,Kim Janey,Kim Janey Percent,Michelle Wu,Michelle Wu Percent,Jon Santiago,Jon Santiago Percent,Robert Cappucci,Robert Cappucci Percent,John Barros,John Barros Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 1, PRECINCT 1",85,21.09,4,0.99,92,22.83,49,12.16,152,37.72,0,0,10,2.48,11,2.73,403,0,0,101
"WARD 1, PRECINCT 2",52,23.64,1,0.45,40,18.18,21,9.55,81,36.82,0,0,18,8.18,7,3.18,220,0,0,102
"WARD 1, PRECINCT 3",91,14.4,2,0.32,107,16.93,104,16.46,297,46.99,0,0,13,2.06,15,2.37,632,3,0.47,103
"WARD 1, PRECINCT 4",51,24.17,1,0.47,35,16.59,40,18.96,73,34.6,1,0.47,7,3.32,3,1.42,211,0,0,104
"WARD 1, PRECINCT 5",56,18.06,4,1.29,55,17.74,50,16.13,128,41.29,0,0,4,1.29,12,3.87,310,1,0.32,105
"WARD 1, PRECINCT 6",65,25.59,3,1.18,33,12.99,49,19.29,90,35.43,0,0,8,3.15,6,2.36,254,0,0,106
"WARD 1, PRECINCT 7",46,19.17,1,0.42,41,17.08,45,18.75,96,40,1,0.42,8,3.33,2,0.83,240,0,0,107
"WARD 1, PRECINCT 8",78,23.21,3,0.89,48,14.29,59,17.56,134,39.88,1,0.3,11,3.27,2,0.6,336,0,0,108
"WARD 1, PRECINCT 9",61,26.52,0,0,51,22.17,28,12.17,83,36.09,0,0,3,1.3,4,1.74,230,0,0,109
"WARD 1, PRECINCT 10",32,20.51,2,1.28,21,13.46,29,18.59,60,38.46,0,0,9,5.77,3,1.92,156,0,0,110
"WARD 1, PRECINCT 11",170,42.93,1,0.25,21,5.3,48,12.12,130,32.83,0,0,19,4.8,6,1.52,396,1,0.25,111
"WARD 1, PRECINCT 12",208,50.61,1,0.24,38,9.25,38,9.25,103,25.06,2,0.49,15,3.65,5,1.22,411,1,0.24,112
"WARD 1, PRECINCT 13",182,38.72,1,0.21,46,9.79,63,13.4,160,34.04,1,0.21,13,2.77,4,0.85,470,0,0,113
"WARD 1, PRECINCT 14",106,42.91,3,1.21,20,8.1,39,15.79,67,27.13,1,0.4,9,3.64,1,0.4,247,1,0.4,114
"WARD 1, PRECINCT 15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
"WARD 2, PRECINCT 1",226,33.88,3,0.45,109,16.34,57,8.55,236,35.38,0,0,16,2.4,19,2.85,667,1,0.15,201
"WARD 2, PRECINCT 2",163,23.32,3,0.43,114,16.31,89,12.73,281,40.2,1,0.14,24,3.43,23,3.29,699,1,0.14,202
"WARD 2, PRECINCT 3",134,25.72,0,0,135,25.91,32,6.14,187,35.89,1,0.19,14,2.69,18,3.45,521,0,0,203
"WARD 2, PRECINCT 4",138,32.7,0,0,62,14.69,43,10.19,158,37.44,1,0.24,9,2.13,11,2.61,422,0,0,204
"WARD 2, PRECINCT 5",204,38.86,0,0,81,15.43,23,4.38,193,36.76,2,0.38,11,2.1,10,1.9,525,1,0.19,205
"WARD 2, PRECINCT 6",287,41.72,1,0.15,118,17.15,38,5.52,208,30.23,1,0.15,22,3.2,12,1.74,688,1,0.15,206
"WARD 2, PRECINCT 7",213,38.66,1,0.18,74,13.43,46,8.35,183,33.21,0,0,17,3.09,15,2.72,551,2,0.36,207
"WARD 3, PRECINCT 1",267,30.41,26,2.96,147,16.74,72,8.2,324,36.9,4,0.46,13,1.48,24,2.73,878,1,0.11,301
"WARD 3, PRECINCT 2",95,27.3,12,3.45,57,16.38,31,8.91,137,39.37,1,0.29,3,0.86,12,3.45,348,0,0,302
"WARD 3, PRECINCT 3",101,24.51,24,5.83,52,12.62,27,6.55,195,47.33,1,0.24,4,0.97,7,1.7,412,1,0.24,303
"WARD 3, PRECINCT 4",118,26.82,41,9.32,53,12.05,20,4.55,186,42.27,1,0.23,9,2.05,12,2.73,440,0,0,304
"WARD 3, PRECINCT 5",151,16.99,4,0.45,174,19.57,109,12.26,402,45.22,3,0.34,12,1.35,31,3.49,889,3,0.34,305
"WARD 3, PRECINCT 6",205,18.6,4,0.36,222,20.15,117,10.62,506,45.92,7,0.64,8,0.73,32,2.9,"1,102",1,0.09,306
"WARD 3, PRECINCT 7",148,13.67,0,0,367,33.89,91,8.4,437,40.35,1,0.09,3,0.28,36,3.32,"1,083",0,0,307
"WARD 3, PRECINCT 8",162,10.94,1,0.07,189,12.76,342,23.09,743,50.17,4,0.27,13,0.88,26,1.76,"1,481",1,0.07,308
"WARD 4, PRECINCT 1",76,13.15,0,0,178,30.8,44,7.61,263,45.5,1,0.17,0,0,16,2.77,578,0,0,401
"WARD 4, PRECINCT 2",101,12.56,1,0.12,170,21.14,145,18.03,339,42.16,9,1.12,6,0.75,32,3.98,804,1,0.12,402
"WARD 4, PRECINCT 3",51,11.75,0,0,118,27.19,61,14.06,184,42.4,5,1.15,0,0,14,3.23,434,1,0.23,403
"WARD 4, PRECINCT 4",54,11.79,1,0.22,154,33.62,74,16.16,155,33.84,4,0.87,1,0.22,15,3.28,458,0,0,404
"WARD 4, PRECINCT 5",49,14.85,1,0.3,77,23.33,86,26.06,98,29.7,6,1.82,3,0.91,10,3.03,330,0,0,405
"WARD 4, PRECINCT 6",26,11.76,0,0,42,19,53,23.98,96,43.44,1,0.45,1,0.45,2,0.9,221,0,0,406
"WARD 4, PRECINCT 7",20,7.97,0,0,68,27.09,45,17.93,104,41.43,6,2.39,2,0.8,6,2.39,251,0,0,407
"WARD 4, PRECINCT 8",29,11.69,0,0,43,17.34,51,20.56,114,45.97,2,0.81,3,1.21,5,2.02,248,1,0.4,408
